Year;Week Number;Holiday;Exams
2016;1;1;0
2016;2;0;0
2016;3;0;0
2016;4;0;0
2016;5;0;0
2016;6;0;0
2016;7;0;0
2016;8;1;0
2016;9;0;0
2016;10;0;0
2016;11;0;0
2016;12;0;0
2016;13;0;0
2016;14;0;0
2016;15;0;0
2016;16;1;0
2016;17;0;0
2016;18;0;0
2016;19;0;0
2016;20;0;0
2016;21;0;0
2016;22;0;0
2016;23;0;0
2016;24;0;0
2016;25;0;0
2016;26;0;0
2016;27;1;0
2016;28;1;0
2016;29;1;0
2016;30;1;0
2016;31;1;0
2016;32;1;0
2016;33;1;0
2016;34;1;0
2016;35;1;0
2016;36;1;0
2016;37;0;0
2016;38;0;0
2016;39;0;0
2016;40;0;0
2016;41;0;0
2016;42;0;0
2016;43;1;0
2016;44;0;0
2016;45;0;0
2016;46;0;1
2016;47;0;1
2016;48;0;0
2016;49;0;1
2016;50;0;1
2016;51;1;0
2016;52;1;0
2017;1;0;1
2017;2;0;1
2017;3;0;0
2017;4;0;0
2017;5;0;1
2017;6;0;1
2017;7;1;0
2017;8;0;0
2017;9;0;0
2017;10;0;1
2017;11;0;0
2017;12;0;0
2017;13;0;1
2017;14;0;0
2017;15;1;0
2017;16;0;1
2017;17;0;2
2017;18;0;0
2017;19;0;1
2017;20;0;1
2017;21;0;0
2017;22;0;1
2017;23;0;0
2017;24;0;1
2017;25;0;0
2017;26;0;0
2017;27;1;0
2017;28;1;0
2017;29;1;0
2017;30;1;0
2017;31;1;0
2017;32;1;0
2017;33;1;0
2017;34;1;0
2017;35;1;0
2017;36;0;0
2017;37;0;0
2017;38;0;0
2017;39;0;0
2017;40;0;0
2017;41;0;0
2017;42;0;0
2017;43;0;0
2017;44;1;0
2017;45;0;1
2017;46;0;0
2017;47;0;1
2017;48;0;0
2017;49;0;1
2017;50;0;1
2017;51;0;0
2017;52;1;0
2018;1;1;0
2018;2;0;1
2018;3;0;1
2018;4;0;0
2018;5;0;1
2018;6;0;1
2018;7;0;0
2018;8;1;0
2018;9;0;1
2018;10;0;0
2018;11;0;0
2018;12;0;1
2018;13;0;1
2018;14;0;1
2018;15;0;0
2018;16;0;1
2018;17;1;0
2018;18;0;1
2018;19;0;0
2018;20;0;1
2018;21;0;0
2018;22;0;0
2018;23;0;1
2018;24;0;1
2018;25;0;0
2018;26;0;0
2018;27;1;0
2018;28;1;0
2018;29;1;0
2018;30;1;0
2018;31;1;0
2018;32;1;0
2018;33;1;0
2018;34;1;0
2018;35;1;0
2018;36;0;0
2018;37;0;0
2018;38;0;0
2018;39;0;0
2018;40;0;0
2018;41;0;0
2018;42;0;0
2018;43;0;0
2018;44;1;0
2018;45;0;1
2018;46;0;0
2018;47;0;1
2018;48;0;0
2018;49;0;1
2018;50;0;1
2018;51;0;0
2018;52;1;0
2019;1;1;0
2019;2;0;1
2019;3;0;1
2019;4;0;1
2019;5;0;0
2019;6;0;1
2019;7;0;0
2019;8;0;1
2019;9;1;0
2019;10;0;1
2019;11;0;0
2019;12;0;0
2019;13;0;1
2019;14;0;1
2019;15;0;0
2019;16;0;1
2019;17;0;1
2019;18;1;0
2019;19;0;1
2019;20;0;1
2019;21;0;1
2019;22;0;1
2019;23;0;0
2019;24;0;1
2019;25;0;0
2019;26;0;0
2019;27;1;0
2019;28;1;0
2019;29;1;0
2019;30;1;0
2019;31;1;0
2019;32;1;0
2019;33;1;0
2019;34;1;0
2019;35;1;0
2019;36;0;0
2019;37;0;0
2019;38;0;0
2019;39;0;0
2019;40;0;0
2019;41;0;0
2019;42;0;1
2019;43;0;0
2019;44;1;0
2019;45;0;0
2019;46;0;1
2019;47;0;0
2019;48;0;1
2019;49;0;0
2019;50;0;0
2019;51;0;0
2019;52;1;0
